source,target,weight
33,156,0.6466624597262342
33,160,0.6411528821309109
33,167,0.6348735298332085
33,172,0.7334134724129722
33,173,0.6749068157001399
33,180,0.6541481105845178
33,190,0.6026625057681061
33,199,0.7529851388563205
33,204,0.6888374964744322
33,209,0.660869852875407
33,211,0.7283548571043783
33,221,0.6251925542571442
33,250,0.67990716691123
33,253,0.7346369442050897
34,18,0.3981992700077958
34,35,0.47883295283981986
34,53,0.48333810470669863
34,64,0.5211771262903276
34,91,0.5043614044469443
34,95,0.5111235695867563
34,117,0.5128303753800895
34,124,0.5016780868847185
34,128,0.5012957776041587
34,173,0.5265490099839268
34,190,0.5164328658569236
34,203,0.5018696192960581
34,247,0.5092772177648531
34,262,0.4240753223209858
34,301,0.30463620165111294
35,30,0.40009368914369187
35,34,0.47883295283981986
35,38,0.49751448855901653
35,41,0.5399313496173814
35,44,0.40473120053263034
35,60,0.43392235034614574
35,66,0.43199119815753045
35,74,0.459850948463668
35,112,0.4829933270060255
35,113,0.39488197799596264
35,115,0.42517411487654044
35,120,0.39510746415263825
35,121,0.4146422733907989
35,124,0.4876545022545555
35,125,0.4963234356827463
35,127,0.4663347753410052
35,132,0.4143661298449819
35,149,0.30523154093829635
35,155,0.4912050669582977
35,159,0.4875385581633816
35,182,0.3977575063769401
35,194,0.39338664739065804
35,196,0.3549038922984069
35,215,0.3816743395219071
35,219,0.43118262069051316
35,225,0.4056322571005334
35,247,0.47785314197116346
35,254,0.4596468972529618
35,296,0.48600839237652427
36,19,0.6720843857331303
36,28,0.6739326575537973
36,33,0.7035355004150162
36,37,0.6707414408983686
36,52,0.6181658127659855
36,54,0.6776229492943233
36,63,0.6824484055282136
36,91,0.6575317659057452
36,116,0.6027965966997312
36,117,0.5950387537763069
36,147,0.6954296363847864
36,150,0.7002708888836131
36,160,0.6393438213722697
36,199,0.687319124130762
36,221,0.6282267390126703
36,253,0.6777951734137827
37,33,0.7079608660736517
37,36,0.6707414408983686
37,40,0.7095022105684452
37,51,0.655436897674875
37,52,0.6245674847740368
37,63,0.7311699268288911
37,94,0.6694436796431208
37,111,0.6931703785529165
37,147,0.7149744751496199
37,151,0.7152696779308441
